Change Id,Date & Time,System,Originator,Responsible,CR Reference,I2 Reference,Topic,Status,Baseline System,Baseline Subsystem,Baseline Number,Item System,Item Subsystem,Path,File Name
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.61,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_HOTSPOT_TACT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.58,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_RER_SOURCES_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,ELD_CONFIG,sources/test/mini/sql,dom_table_HOTSPOT_TACT.sql
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.61,ELD,GEO_ENV,sources,env_dom_rer_sources.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.67,ELD,GEO_ENV,sources,env_restriction_info.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.67,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_OTMV_TACT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.61,ELD,GEO_ENV,sources,def_traffic_volume_has_otmv.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.36,ELD,ELD_CONFIG,sources/test/mini/cache.text,TRAFFIC_VOLUME_HAS_OTMV
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.56,ELD,ELD_CONFIG,sources/test/mini/db_debug,TRAFFIC_VOLUME_HAS_HOTSPOT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_OTMV_PERM_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_HOTSPOT_TACT_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,ELD_CONFIG,sources/test/mini/sql,dom_table_OTMV_PERM.sql
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.27,ELD,ELD_CONFIG,sources/test/mini/db_debug,TRAFFIC_VOLUME_HAS_OTMV
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.47,ELD,GEO_ENV,sources,env_compile_traffic_volume_has_hotspot.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,GEO_ENV,sources,env_entity.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.67,ELD,GEO_ENV,special_files,10_use.setup
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.47,ELD,GEO_ENV,sources,env_traffic_volume_has_hotspot.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.64,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_OTMV_TACT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.64,ELD,GEO_ENV,sources,def_dom_rer_sources.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.56,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_HOTSPOT_TACT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,GEO_ENV,sources,env_compile_traffic_volume_has_hotspot.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,GEO_ENV,sources/dbt,env_dom_hotspot_tact.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.50,ELD,GEO_ENV,sources,env_compile_restriction_info.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.27,ELD,GEO_ENV,sources/dbt,env_traffic_volume_has_hotspot.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.50,ELD,GEO_ENV,sources,env_compile_restriction_info.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,DOM,sources/dbt,otmv_perm.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.50,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_OTMV_PERM
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.27,TACT,ENV,sources,measure-otmv_update.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.47,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_OTMV_PERM_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.50,ELD,GEO_ENV,sources,def_dom_otmv_tact.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.62,TACT,ENV,sources,rerouting-dom.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.58,ELD,GEO_ENV,sources,def_rerouting_info.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.61,ELD,ELD_CONFIG,sources/test/mini/cache.text,TRAFFIC_VOLUME_HAS_HOTSPOT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_OTMV_PERM_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.36,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_RER_SOURCES_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,DOM,sources/dbt,otmv_perm.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,TACT,CORE,sources,otmv_format.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,GEO_ENV,sources,env_compile_restriction_info.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.61,ELD,GEO_ENV,sources,env_traffic_volume_has_otmv.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.47,ELD,GEO_ENV,sources/dbt,undef
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,GEO_ENV,sources,env_traffic_volume_has_otmv.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.50,ELD,DOM,sources/dbt,hotspot_tact.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.39,TACT,TACOT_SCR,sources/an2,test_an2_otmv.update_reply_4.templ
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/mini/cache.text,TRAFFIC_VOLUME_HAS_HOTSPOT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,GEO_ENV,sources,env_entity-internals.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ELD,ELD_CONFIG,16.0.46,ELD,ELD_CONFIG,sources/test/mini/cache.text,undef
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CUA,CUA_CONFIG,16.0.0.61,TOOL,COMMON_CONFIG,sources/dbt,users_devd.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_OTMV_TACT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.27,ELD,DOM,sources/dbt,otmv_perm.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/mini/sql,dom_table_HOTSPOT_TACT.sql
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.52,ELD,GEO_ENV,sources,def_dom_otmv_tact.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.61,ELD,ELD_CONFIG,sources/test/mini/cache.text,TRAFFIC_VOLUME_HAS_HOTSPOT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.70,ELD,DOM,sources,load_and_convert_dom_data.ksh
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CSD,CSD_CONFIG,17.0.1,TOOL,COMMON_CONFIG,sources/dbt,users_devd.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.61,ELD,GEO_ENV,sources,env_traffic_volume_has_otmv.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,ERS,ERS_CONFIG,16.0.12,TOOL,COMMON_CONFIG,sources/dbt,users_devd.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.61,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_RER_SOURCES_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.50,ELD,GEO_ENV,special_files,10_use.setup
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.36,TOOL,COMMON_CONFIG,sources/dbt,users_devd.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.67,ELD,ELD_CONFIG,sources/test/mini/cache.text,DOM_OTMV_PERM_INFO
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/mini/sql,dom_table_HOTSPOT_TACT.sql
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.50,ELD,GEO_ENV,sources/dbt,env_dom_hotspot_tact.dbt
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/ref/path_generator/short_test,results
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FPL_CONFIG,16.0.61,ELD,GEO_ENV,sources,def_dom_rer_sources.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,RPL,RPL_CONFIG,16.0.47,ELD,GEO_ENV,sources,def_traffic_volume_has_otmv.adb
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.70,ELD,ELD_CONFIG,sources/test/mini/sql,dom_table_OTMV_TACT.sql
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,TACT,TACT_CONFIG,16.0.62,ELD,ELD_CONFIG,sources/test/mini/db_debug,DOM_HOTSPOT_TACT
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,IFPS,FLIGHT_CONFIG,16.0.50,ELD,GEO_ENV,sources,env_data_agent.ads
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.27,TACT,TACOT_SCR,sources/env,show_cache_heap.templ
SC_059340,2011-07-27T07:43:45,ELD,BCD,BCD,CR_033044,undef,FB136,CLOSED,CFMUTEST,CFMUTEST_CONFIG,16.0.27,TACT,UNAS,sources,unas_message_groups.ads
